ingredients,description,grade,efficacy
2-t-부틸사이클로헥실아세테이트,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-t-부틸사이클로헥실옥시부탄올,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-나이트로-5-글리세릴메틸아닐린,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-나이트로-p-페닐렌다이아민다이하이드로클로라이드,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-나이트로-p-페닐렌다이아민설페이트,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-메칠-5-하이드록시에칠아미노페놀,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-메톡시-p-페닐렌다이아민설페이트,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-메틸-1-나프톨,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-메틸-4-하이드록시피롤리딘,피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-메틸5-사이클로헥실펜탄올,"데오도란트, 피부컨디셔닝제, 피부보호. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
2-메틸5-페닐펜탄올,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-메틸레조시놀,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
2-메틸프로판알,"네일컨디셔닝제, 착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
2-벤질헵탄올,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"2-브로모-2-나이트로프로판-1,3-디올","브로노폴(Bronopol)으로도 불리며, 학술명은 2-브로모-2-나이트로프로판-1,3-디올으로, 포름알데하이드를 방출하는 보존제이다.",매우 나쁨,효과 없음
2-아미노-3-히드록시피리딘,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
